Name,Political Party,Nationality,Religion
Abu Nidal,,Palestinian,-
Ahmad Reza Djalali,-,Iranian-Swedish,-
Ardeshir Hosseinpour,-,-,-
Bachir Gemayel,Kataeb Party,-,-
nobold,Likud,-,-
Elhanan Tannenbaum,-,-,-
Fereydoon Abbasi Davani,Association of Islamic Revolution Loyalists,Iranian,-
Fouad Siniora,Future Movement,-,-
Fouad Siniora,Future Movement,-,-
Hussein bin Talal,-,-,Sunni Islam
Mohammed Jihad Jibril,-,Palestinian,-
Khalil al-Wazir,-,-,-
Majid Shahriari,-,-,-
Massoud Ali-Mohammadi,-,-,-
Michel Aoun,Free Patriotic Movement,-,-
Michèle Alliot-Marie,"The Republicans small,European Peoples Party small",-,-
Mohsen Fakhrizadeh,-,-,-
Robert Fisk,-,-,-
Saad Hariri,Future Movement,-,-
Saleh al-Arouri,Hamas,Palestinian,-
Samir Kuntar,-,Lebanese,-
Fouad Siniora,Future Movement,-,-
Walid Jumblatt,Progressive Socialist Party,-,-
Yasser Arafat,Fatah,-,-
Yasser Arafat,Fatah,-,-
